rows;x
cols;x
its;10
algorithm;P;avg_speedup
2000x2000;1;0.9044897369
2000x2000;2;1.8304884844
2000x2000;3;1.9136673707
2000x2000;4;1.5117189773
2000x2000;8;1.002410898
2000x2000;10;1.8199843354
2000x2000;12;2.9498898857
2000x2000;16;1.59743865
2000x2000;20;3.271249606
2000x2000;24;3.3183196291
2000x2000;28;5.2518129886
2000x2000;32;1.5468104241
2000x2000;34;2.8295962715
2000x2000;36;1.3697360589
4000x4000;1;1.0092856488
4000x4000;2;2.3952380842
4000x4000;4;3.5647689485
4000x4000;8;5.8798958476
4000x4000;10;4.599807013
4000x4000;12;6.6173167903
4000x4000;16;7.353718812
4000x4000;20;6.1894316599
4000x4000;24;6.9271808462
4000x4000;28;7.3138448314
4000x4000;32;4.3510393538
4000x4000;34;7.5345387373
4000x4000;36;4.6011517016
10000x10000;1;0.9867018362
10000x10000;2;1.9849615512
10000x10000;4;3.9677717975
10000x10000;8;8.4705833061
10000x10000;10;11.7500529229
10000x10000;12;12.4942897736
10000x10000;16;16.3246534942
10000x10000;20;22.7945267152
10000x10000;24;17.4961280908
10000x10000;28;20.8360811105
10000x10000;32;17.8966253687
10000x10000;34;17.1357823597
10000x10000;36;22.1149532326
20000x20000;1;0.8935674118
20000x20000;2;1.9796146663
20000x20000;3;2.8454802778
20000x20000;4;3.8657087602
20000x20000;8;7.8601728002
20000x20000;10;9.5953883194
20000x20000;12;11.8055201393
20000x20000;16;15.6117208377
20000x20000;20;19.4327382832
20000x20000;24;24.6582089537
20000x20000;28;29.1466603192
20000x20000;32;33.7550402615
20000x20000;34;40.1541319236
20000x20000;36;36.8956618632
