rows;x
cols;x
its;5
algorithm;size;min;avg;max
build/stencil_sequential/sequential_benchmark_tmp_matrix;2000;67.214844;73.302116;78.881836
build/stencil_sequential/sequential_benchmark_one_vector;2000;64.734863;66.073079;69.677002
build/stencil_sequential/sequential_benchmark_tmp_matrix;4000;320.276855;322.378182;323.083008
build/stencil_sequential/sequential_benchmark_one_vector;4000;333.902100;340.442415;350.507812
build/stencil_sequential/sequential_benchmark_tmp_matrix;10000;1789.813965;1807.385002;1943.892090
build/stencil_sequential/sequential_benchmark_one_vector;10000;2072.722168;2114.360547;2178.404053
build/stencil_sequential/sequential_benchmark_tmp_matrix;20000;9420.216064;9524.737956;9544.975098
build/stencil_sequential/sequential_benchmark_one_vector;20000;8376.908936;8420.990031;8520.853027

rows;x
cols;x
its;10
algorithm;size;min;avg;max
build/stencil_sequential/sequential_benchmark_tmp_matrix;2000;137.589111;149.528890;157.676025
build/stencil_sequential/sequential_benchmark_one_vector;2000;134.361816;135.408114;138.604004
build/stencil_sequential/sequential_benchmark_tmp_matrix;4000;613.509033;637.443644;645.423096
build/stencil_sequential/sequential_benchmark_one_vector;4000;688.687988;691.976807;694.654053
build/stencil_sequential/sequential_benchmark_tmp_matrix;10000;3654.909912;3963.051147;4021.425049
build/stencil_sequential/sequential_benchmark_one_vector;10000;4257.020996;4301.785156;4358.211914
build/stencil_sequential/sequential_benchmark_tmp_matrix;20000;18634.678955;19040.601831;19155.674072
build/stencil_sequential/sequential_benchmark_one_vector;20000;16712.058838;17401.275521;20074.881836
