rows;1000
cols;1000
its;1
algorithm;P;min;avg;max
build/stencil_sequential/sequential_benchmark_tmp_matrix;1;4.922119;5.008268;5.794922
build/stencil_sequential/sequential_benchmark_one_vector;1;3.451904;3.489884;3.559814
build/stencil_cilk/cilk_benchmark;1;3.409912;3.444092;3.520020
build/stencil_cilk/cilk_benchmark;2;1.749023;2.040430;7.235840
build/stencil_cilk/cilk_benchmark;4;0.906982;3.212638;4.982910
build/stencil_cilk/cilk_benchmark;8;1.828125;2.112996;3.312012
build/stencil_cilk/cilk_benchmark;10;1.676025;2.016260;3.716064
build/stencil_cilk/cilk_benchmark;12;1.503906;1.954411;3.195068
build/stencil_cilk/cilk_benchmark;16;1.864990;2.151831;3.009033
build/stencil_cilk/cilk_benchmark;20;2.070801;2.415666;3.235107
build/stencil_cilk/cilk_benchmark;24;2.176025;2.428288;3.763916
build/stencil_cilk/cilk_benchmark;32;2.367920;2.642228;4.515869
build/stencil_cilk/cilk_benchmark;36;2.478027;2.849797;4.551025
build/stencil_cilk/cilk_benchmark;40;2.791016;3.038005;4.764160
build/stencil_cilk/cilk_benchmark;48;3.381104;3.991170;6.065918

rows;1000
cols;1000
its;10
algorithm;P;min;avg;max
build/stencil_sequential/sequential_benchmark_tmp_matrix;1;49.778809;51.729736;60.938965
build/stencil_sequential/sequential_benchmark_one_vector;1;36.185059;36.216960;36.560059
build/stencil_cilk/cilk_benchmark;1;34.055908;34.165283;34.552979
build/stencil_cilk/cilk_benchmark;2;16.856934;17.100635;22.343018
build/stencil_cilk/cilk_benchmark;4;24.513916;30.886328;36.513916
build/stencil_cilk/cilk_benchmark;8;19.506104;20.319165;23.384033
build/stencil_cilk/cilk_benchmark;10;17.792969;18.670386;21.746094
build/stencil_cilk/cilk_benchmark;12;18.068848;18.765226;20.660889
build/stencil_cilk/cilk_benchmark;16;20.077881;20.693831;22.154053
build/stencil_cilk/cilk_benchmark;20;22.139160;22.978255;25.669189
build/stencil_cilk/cilk_benchmark;24;23.072021;23.770443;25.402100
build/stencil_cilk/cilk_benchmark;32;26.141113;26.791447;28.430176
build/stencil_cilk/cilk_benchmark;36;26.101074;27.171834;32.079102
build/stencil_cilk/cilk_benchmark;40;35.598145;51.184310;62.052979
build/stencil_cilk/cilk_benchmark;48;30.460938;32.413070;33.720947

rows;1000
cols;1000
its;100
algorithm;P;min;avg;max
build/stencil_sequential/sequential_benchmark_tmp_matrix;1;506.891113;522.829777;630.437988
build/stencil_sequential/sequential_benchmark_one_vector;1;360.171875;360.633919;362.939941
build/stencil_cilk/cilk_benchmark;1;342.723145;343.103857;343.512939
build/stencil_cilk/cilk_benchmark;2;169.837891;170.687069;179.671875
build/stencil_cilk/cilk_benchmark;4;274.693115;300.728084;320.100830
