rows;x
cols;x
its;10
algorithm;P;avg_speedup
1000x1000;1;1.0600515149
1000x1000;2;2.1178722311
1000x1000;4;1.172588726
1000x1000;8;1.7824039521
1000x1000;10;1.939807779
1000x1000;12;1.9300039339
1000x1000;16;1.7501331677
1000x1000;20;1.5761405729
1000x1000;24;1.5236131695
1000x1000;32;1.3518105237
1000x1000;36;1.3328861055
1000x1000;40;0.7075793344
1000x1000;48;1.1173566712
2000x2000;1;0.9898145613
2000x2000;2;1.2923956171
2000x2000;4;1.5902197518
2000x2000;8;2.1304658892
2000x2000;10;2.1424418894
2000x2000;12;2.1284958472
2000x2000;16;2.0524569754
2000x2000;20;2.0304594436
2000x2000;24;1.967603579
2000x2000;32;1.9383672275
2000x2000;36;1.5497005581
2000x2000;40;1.8191604576
2000x2000;48;1.7306098711
6000x6000;1;0.830303617
6000x6000;2;1.3200408362
6000x6000;4;1.81367568
6000x6000;8;2.1706962703
6000x6000;10;2.2186843724
6000x6000;12;2.2145396411
6000x6000;16;2.1826189983
6000x6000;20;2.1747665034
6000x6000;24;2.1457866937
6000x6000;32;2.0908584053
6000x6000;36;2.031831644
6000x6000;40;1.9909150082
6000x6000;48;1.9173959239
