rows;x
cols;x
its;10
algorithm;P;avg_speedup
1000x1000;1;1.006830453
1000x1000;2;2.0941833656
1000x1000;4;4.0453722898
1000x1000;8;8.9676927968
1000x1000;10;9.9943373546
1000x1000;12;12.18811522
1000x1000;16;14.3968440359
1000x1000;20;18.710267695
1000x1000;24;18.63010429
1000x1000;32;20.95915573
1000x1000;36;22.237151932
1000x1000;40;27.1841343018
1000x1000;48;10.9418747947
2000x2000;1;1.0092698505
2000x2000;2;2.2698342308
2000x2000;4;4.6242451334
2000x2000;8;7.6737116065
2000x2000;10;9.552450961
2000x2000;12;12.4372921597
2000x2000;16;14.986079596
2000x2000;20;21.3240235012
2000x2000;24;25.532925391
2000x2000;32;35.3541409378
2000x2000;36;37.1274137509
2000x2000;40;40.4118381688
2000x2000;48;20.2080239677
6000x6000;1;0.7164274829
6000x6000;2;1.5826245382
6000x6000;4;3.1759131265
6000x6000;8;6.5556068565
6000x6000;10;9.1720339938
6000x6000;12;11.0277081501
6000x6000;16;12.6005779846
6000x6000;20;15.1906815218
6000x6000;24;15.9597569902
6000x6000;32;16.8626588202
6000x6000;36;20.3020208845
6000x6000;40;18.9221060002
6000x6000;48;21.8672338544
