rows;x
cols;x
its;10
algorithm;P;avg_speedup
1000x1000;1;0.9902536317
1000x1000;2;1.8503306326
1000x1000;4;3.4901804176
1000x1000;8;8.000026507
1000x1000;10;9.9474159954
1000x1000;12;12.4421889509
1000x1000;16;15.2050651979
1000x1000;20;15.0235452238
1000x1000;24;17.9486650861
1000x1000;32;23.4481669142
1000x1000;36;18.1518083666
1000x1000;40;15.9671776857
1000x1000;48;15.6013238546
2000x2000;1;1.0775766012
2000x2000;2;1.8332139824
2000x2000;4;2.7564127649
2000x2000;8;4.2515897024
2000x2000;10;5.3631047928
2000x2000;12;6.4103175217
2000x2000;16;9.0123941638
2000x2000;20;14.6515396383
2000x2000;24;19.9337967074
2000x2000;32;25.1838594135
2000x2000;36;27.8181308812
2000x2000;40;25.6417498476
2000x2000;48;28.002859844
6000x6000;1;0.8407757845
6000x6000;2;1.5433606786
6000x6000;4;2.5442241337
6000x6000;8;4.0978653551
6000x6000;10;5.1277713919
6000x6000;12;6.1071429226
6000x6000;16;7.992946657
6000x6000;20;9.8377440634
6000x6000;24;10.6492682607
6000x6000;32;14.9079197444
6000x6000;36;14.9507639865
6000x6000;40;17.5741433521
6000x6000;48;15.0402591783
